model_a,model_b,unique_months,mean_mae_reduction,t_statistic,p_value,ci95_lower,ci95_upper,positive_months
elastic_net_macro,elastic_net_history,12,299.9465642187288,1.1177360022768692,0.2874971178452141,-290.691954466443,890.5850829039006,9
xgboost,seasonal_naive,12,62521.64153645834,4.167723278610164,0.0015687399885419727,29503.805176602116,95539.47789631455,10
xgboost,random_forest,12,5682.285578006434,0.8032880275845891,0.43882150902060285,-9887.00688387818,21251.57803989105,7
