column
REF_DATE
GEO
DGUID
Type of building
Type of work
Variables
"Seasonal adjustment, value type"
UOM
UOM_ID
SCALAR_FACTOR
SCALAR_ID
VECTOR
COORDINATE
VALUE
STATUS
SYMBOL
TERMINATED
DECIMALS
