column
REF_DATE
GEO
DGUID
Labour force characteristics
Gender
Age group
Statistics
Data type
UOM
UOM_ID
SCALAR_FACTOR
SCALAR_ID
VECTOR
COORDINATE
VALUE
STATUS
SYMBOL
TERMINATED
DECIMALS
