Type of work
Addition to existing building (structural extension) for non-residential only
Additional value to previous permit(s)
Alterations and improvements
Conversion from multiple to multiple dwelling
Conversion from non-residential to residential building
Conversion from single to multiple dwelling
Conversions total
Deconversion from multiple to multiple or single dwelling or non-residential building
Deconversion from single to non-residential building
Deconversion total
Demolitions for residential dwellings
Foundation
"Garage and carport for residential construction, only"
Improvements total
"Inground swimming pools for residential construction, only"
Installation of a pre-fabricated building
Mechanical
New construction
New dwelling units total
"New residential and non-residential constructions, total"
Superstructure or part of a new building
"Types of work, total"
