Type of building
Agriculture
Apartment
Apartment condominium
Apartment total
"Churches, religion"
"Clinic - health unit, out-patient clinic, first aid station"
Communication building
"Convention center, exhibition building"
Cottage
Demolition apartment
Demolition cottage
Demolition row
Demolition semi-detached
Demolition single - detached
Double
Double condominium
Double total
"Elementary school, kindergarten"
"Factories, plants"
Government buildings
"Government legislative and administration building other than office building - city hall, court of justice, embassy, parliament and senate building"
"Hospital general - military, specialized"
"Hotel, hotel and motel, motor hotel"
"Hotels, restaurants"
"Indoor recreational building - sports complex, tennis court and squash, community center, arena, curling club, swimming pool"
Laboratories
"Library, museum, art gallery, aquarium, botanical garden, archive building, scientific center"
Maintenance building
Major multiple dwelling projects
Major single dwelling  projects
"Medical, hospital"
Mining and agriculture
Mining building
Minor multiple dwelling projects
Minor single dwelling projects
Mobile home
"Motel, cabin for tourism"
"Motor vehicle show room (new and used) - car dealership, used car, motorcycle and tractor sale"
Multiple dwelling building total
"Office building - consultant's office, doctor's office, insurance company, bank, taxi stand, office with cafeteria, office with smoke shop"
Office buildings
"Office complex, office and store, office and apartment"
"Other accommodation - student's residence, boarding house, religious residence, hostel, dormitory"
"Other government building - police station, prison, fire station, military building"
"Outdoor recreational building - country club, golf club campground facilities, outdoor skating rink, outdoor swimming pool"
"Plant for manufacturing, processing and assembling goods"
"Post-secondary institution - technical institute, trade school"
Recreation
"Restaurant, bar, tavern, night club, diner, donut shop"
Retail and wholesale outlets
"Retail complex - plaza, mall, shopping center, store and office building"
Row
Row condominium
Row total
"Schools, education"
"Secondary school, high school, junior high school"
Service stations
Single
Single condominium
Single dwelling building total
Single total
"Special building use - funeral director, crematorium, mausoleum"
"Theatre and performing art center - movie theatre, concert hall, opera house, cultural center"
Total commercial
Total demolitions
Total industrial
Total institutional and governmental
Total major commercial projects
Total major industrial projects
Total major institutional and governmental projects
Total major non-residential projects
Total major permits residential and non-residential
Total major residential project
Total minor commercial projects
Total minor industrial projects
Total minor institutional and governmental projects
Total minor non-residential projects
Total minor residential and non-residential
Total minor residential project
Total non-residential
Total residential
Total residential and non-residential
Trade and services
Transportation terminal
"Transportation, utilities"
University
Utility building
Warehouses
"Welfare, home"
