model,cma,n,mae,rmse,mase,smape_pct,wape_pct
elastic_net_history,Hamilton,12,41863.2037400372,51392.79000563387,0.4487275641015242,41.99422322070019,43.71154648307399
elastic_net_history,Kitchener-Cambridge-Waterloo,12,46163.41809410271,53845.623795722946,0.6476377733011626,38.02710459817579,36.98991834463358
elastic_net_history,London,12,48281.19209009557,57289.414486339636,0.5837684763447124,35.650996268151594,34.27382326139574
elastic_net_history,Toronto,12,516404.8348237824,537947.6776845888,1.0278041989608628,61.192739350067946,47.208530868286545
elastic_net_history,Windsor,12,36657.53971901225,37316.56229647914,1.0640795274023878,55.71380556167057,75.90954103468843
elastic_net_macro,Hamilton,12,42704.354233861544,52958.708460077265,0.45774377352688195,42.65450256001614,44.589835424799176
elastic_net_macro,Kitchener-Cambridge-Waterloo,12,46060.746807583375,53317.00495730675,0.6461973729554212,37.93015724720379,36.9076496855636
elastic_net_macro,London,12,47909.14068182,56353.97041869482,0.5792699982763658,35.31328727018355,34.00971163408557
elastic_net_macro,Toronto,12,520895.22161928687,540103.2015228085,1.0367414475924581,62.002453644844834,47.619031602111896
elastic_net_macro,Windsor,12,58157.937517300736,58588.89094709274,1.6881839627663495,75.71689704876934,120.43204149275466
random_forest,Hamilton,12,42833.71181972762,52001.94749593769,0.45913034476887754,42.84367234773488,44.72490440238236
random_forest,Kitchener-Cambridge-Waterloo,12,51239.11489757778,58476.55906814069,0.7188459530995807,42.01551334413833,41.05698309100784
random_forest,London,12,44576.97853121203,52605.43224617068,0.5389807854921401,32.805984156719084,31.644278394261356
random_forest,Toronto,12,147160.94517687554,186384.16879515466,0.29289547110351005,13.19916077272954,13.453111889162361
random_forest,Windsor,12,10994.152087042172,12773.214102550639,0.3191335874322836,21.296360014490645,22.76642255290505
seasonal_naive,Hamilton,12,63569.083333333336,111897.85548324866,0.6813907529263578,47.67422368691776,66.37578333150607
seasonal_naive,Kitchener-Cambridge-Waterloo,12,69265.66666666667,82566.16141313584,0.9717448139298684,59.536023865050424,55.50133547008547
seasonal_naive,London,12,63717.5,86643.59388129435,0.7704090616089964,45.01459973887303,45.23174012735236
seasonal_naive,Toronto,12,341277.1666666667,410932.01683814643,0.6792463611018696,27.41793619406187,31.198766105128502
seasonal_naive,Windsor,12,23942.916666666668,32838.86952606621,0.6950048379293663,37.08994387132524,49.58040908173179
xgboost,Hamilton,12,40091.553385416664,46550.25694304939,0.42973741817277006,41.02659920623796,41.86167428245007
xgboost,Kitchener-Cambridge-Waterloo,12,52075.537760416664,62132.47616895771,0.7305803320253986,43.015610985253744,41.727193718282585
xgboost,London,12,46893.412760416664,55382.19298162129,0.5669888197182241,34.775187970256624,33.28866731531896
xgboost,Toronto,12,135783.421875,164978.61416485725,0.2702507059214932,12.433404255619168,12.41300512837937
xgboost,Windsor,12,8543.910481770834,10193.217804325188,0.24800901253326077,17.101251699055535,17.692521873646445
