transformed_feature,mean_absolute_shap
rolling_mean_3,0.36732343
permit_value_t,0.24187729
lag_3,0.14407662
time_index,0.079685755
lag_6,0.078131326
cma_Windsor,0.061757278
lag_12,0.055094216
lag_1,0.025322296
unemployment_lag_1,0.013640414
rolling_sd_3,0.008916561
month_sin,0.0043739574
overnight_rate_lag_1,0.0034489434
month_cos,0.00120686
cma_Hamilton,0.0010301713
pandemic_indicator,0.00073289865
cma_London,0.00065045716
cma_Kitchener-Cambridge-Waterloo,0.0
cma_Toronto,0.0
