model,f_statistic,p_value,n
elastic_net_history,97.11321470930046,2.959080523548071e-24,60
elastic_net_macro,106.6549029263341,3.0885248320495313e-25,60
random_forest,9.36687710355284,7.578699939879034e-06,60
seasonal_naive,13.745379872259916,7.805590628037283e-08,60
xgboost,10.826284755891756,1.5200950591086634e-06,60
