cma,n,mean,median,std,minimum,maximum,coefficient_of_variation
Hamilton,88,141968.0,113844.5,82158.8454929573,40492.0,410853.0,0.5787138333494682
Kitchener-Cambridge-Waterloo,88,149175.27272727274,137825.0,65959.25466663219,44293.0,415077.0,0.44215943742379554
London,88,151773.8409090909,140845.0,70046.0559456249,48920.0,389630.0,0.4615159998986973
Toronto,88,1531889.1704545454,1488403.0,435112.5949200403,688349.0,2725845.0,0.28403660219814253
Windsor,88,70103.19318181818,66019.5,27001.079895329673,30841.0,147856.0,0.3851619116022324
