term,coefficient,standard_error_hac,t_statistic,p_value
const,148358.23138153247,25911.06225819339,5.72567152605331,1.0302539159501083e-08
permit_value_t,0.4757613894563493,0.08990983983463625,5.291538616144551,1.212915723798792e-07
month_sin,-0.14711264594370732,11591.06917827678,-1.2691896121146112e-05,0.9999898733320379
month_cos,-1411.2123904306713,10503.27388255309,-0.13435928703857047,0.8931184738997916
time_index,-1343.8115500518907,265.54033888078993,-5.060668204747502,4.1778969967496255e-07
cma_Kitchener-Cambridge-Waterloo,2512.4215494455384,11673.497764524429,0.21522439975794974,0.8295923684035067
cma_London,6296.145867939404,10903.17522292411,0.5774598444223523,0.5636288574604629
cma_Toronto,719432.4113461133,121147.80787397403,5.938468256020897,2.876973423328601e-09
cma_Windsor,-37108.71556426055,11941.252380832855,-3.107606671459729,0.0018860890508745252
