model,n,mae,rmse,mase,smape_pct,wape_pct
xgboost,60,53677.991796875,73485.2591744774,0.5710395859621351,28.379411412631512,16.79562414970536
random_forest,60,59360.277374881436,93306.65650224875,0.5716447176879806,28.07772828170167,18.573588072808825
elastic_net_macro,60,75378.50386180854,118806.5324978896,0.7248475711133222,34.60477074595868,23.585625643762544
elastic_net_history,60,75678.45042602728,119173.29291206149,0.7248926290749738,34.61753507901657,23.67947769725734
seasonal_naive,60,116199.63333333333,204328.6844442062,0.9903215233148913,42.976921709358365,36.358390142193464
