transformed_feature,mean_absolute_shap
permit_value_t,0.20699099
rolling_mean_3,0.17681831
lag_6,0.13401814
lag_3,0.11221669
lag_1,0.10297943
cma_Toronto,0.064316355
cma_Windsor,0.057428375
lag_12,0.04223491
overnight_rate_lag_1,0.016178694
time_index,0.014318886
rolling_sd_3,0.013794933
month_sin,0.007621384
unemployment_lag_1,0.0063423617
cma_London,0.0032546981
month_cos,0.00265058
cma_Hamilton,0.0010887212
pandemic_indicator,0.00022694179
cma_Kitchener-Cambridge-Waterloo,0.0
