model,f_statistic,p_value,n
elastic_net_history,16.14918027970554,8.371716452968874e-09,60
elastic_net_macro,15.668422717053721,1.2903655867363545e-08,60
random_forest,10.61056830573476,1.917024583417131e-06,60
seasonal_naive,13.176624749256877,1.3595834598100866e-07,60
xgboost,12.725272201622555,2.1283586856957022e-07,60
