cma,n,mean,median,std,minimum,maximum,coefficient_of_variation
Hamilton,88,120208.65909090909,96770.0,76251.13506144224,34043.0,412912.0,0.6343231480835045
Kitchener-Cambridge-Waterloo,88,123923.79545454546,112296.5,49275.45661274446,45972.0,268642.0,0.3976270774471108
London,88,124858.13636363637,112235.5,50034.44212456878,45738.0,265312.0,0.400730329490492
Toronto,88,1229894.0909090908,1211732.0,296446.89595898247,635428.0,2077923.0,0.24103449081527029
Windsor,88,58522.625,52891.0,22331.529512664376,21509.0,131795.0,0.38158796726333405
