term,coefficient,standard_error_hac,t_statistic,p_value
const,126692.21097912239,6628.278217832943,19.113894561375744,1.934761971370714e-81
permit_value_t,0.0745126969831211,0.045212415739553535,1.6480582991263297,0.09934070845692444
month_sin,18727.126998388587,1289.2661810366124,14.525415522286764,8.363361422466899e-48
month_cos,704.6522265678313,1176.6087124790074,0.5988840802336006,0.5492501882174734
time_index,959.7083640753915,57.96417563707567,16.556922504760553,1.4270914404110349e-61
cma_Kitchener-Cambridge-Waterloo,21662.8521688536,2295.506774703883,9.437067408197075,3.833583864342236e-21
cma_London,43998.61963817099,3013.389942255835,14.601037529591492,2.76603580937363e-48
cma_Toronto,-22805.52798866343,2307.7973400718665,-9.881945694570065,4.9855336831332026e-23
cma_Windsor,67191.55471289257,4144.812047533176,16.211001594844873,4.216405426658183e-59
