model,cma,n,mae,rmse,mase,smape_pct,wape_pct
elastic_net_history,Hamilton,12,39300.47571561689,50701.81758472293,0.5059543145599871,37.79015769797322,38.54965689809826
elastic_net_history,Kitchener-Cambridge-Waterloo,12,49441.95355755049,63579.947276560364,0.8796740016316512,38.17155221817569,37.10201040642543
elastic_net_history,London,12,56457.25548762027,68815.06638123647,0.8944069006644062,39.67629880545751,37.57931693927362
elastic_net_history,Toronto,12,209219.32416272847,242965.76498069038,0.535649442620666,18.833986811722948,18.018691732655714
elastic_net_history,Windsor,12,23973.243206620322,25107.935035148912,0.8087784858981588,38.615679861753456,46.63185665439224
elastic_net_macro,Hamilton,12,39319.747167740075,50696.869877475765,0.5062024152298139,37.802571478236466,38.5685601773525
elastic_net_macro,Kitchener-Cambridge-Waterloo,12,49432.81354353927,63525.24988381781,0.879511381991413,38.16297039845565,37.09515159785176
elastic_net_macro,London,12,56361.515452605294,68689.18720293755,0.8928901682754925,39.59314611826406,37.515590052648854
elastic_net_macro,Toronto,12,207650.3895541324,242101.5778772868,0.5316326102751552,18.653511369908816,17.88356965837256
elastic_net_macro,Windsor,12,24128.05359102576,25257.71928367865,0.8140012797947377,38.81165436492842,46.932988027898354
random_forest,Hamilton,12,38091.60809045088,45522.50890711859,0.4903913530551321,37.2411109082534,37.363884173040624
random_forest,Kitchener-Cambridge-Waterloo,12,49801.1061738846,61540.54114651357,0.8860640650590471,38.48253950088403,37.37152411189041
random_forest,London,12,50762.046552653155,61924.5028327091,0.8041822851005637,35.10326899562552,33.788447904744615
random_forest,Toronto,12,149399.83340920813,183692.7241577471,0.3824978300332306,12.69029412313754,12.866830317341243
random_forest,Windsor,12,8746.792648210374,9667.613809331722,0.29508805519192977,16.87142788060789,17.013934136554383
seasonal_naive,Hamilton,12,67226.5,117420.19326901712,0.8654739442314424,47.85614597162944,65.9421664056395
seasonal_naive,Kitchener-Cambridge-Waterloo,12,73332.41666666667,88366.04884277294,1.3047344568089967,59.490398185137806,55.02978524357863
seasonal_naive,London,12,67404.58333333333,92355.58203893255,1.0678366128329047,44.888425585582844,44.86612355427805
seasonal_naive,Toronto,12,348705.1666666667,421316.54047224397,0.8927651827164308,26.61093759622815,30.031694868032307
seasonal_naive,Windsor,12,24329.5,33433.74416414251,0.8207974199846815,36.038701208213624,47.324834053313666
xgboost,Hamilton,12,39300.040364583336,44958.48621945243,0.5059487098508897,38.538188774742245,38.54922986426042
xgboost,Kitchener-Cambridge-Waterloo,12,51913.701822916664,63445.34375350052,0.923651484946299,40.08543417180957,38.9568487221674
xgboost,London,12,53637.565755208336,63135.863164857816,0.8497368235836168,37.44329794462983,35.70246314591204
xgboost,Toronto,12,115212.70833333333,129884.55486687456,0.2949709509316987,10.031800007612814,9.922516877685887
xgboost,Windsor,12,8325.942708333334,9884.565848748205,0.2808899604981718,15.798336164363109,16.195312563319096
